边角网平差结果

后验单位权中误差：0.85337151043716275

点位中误差: 
点名 deltaX                        deltaY                        delta                         
4    0.03403675698958588           0.019278135726945752          0.039117097840645917          
5    0.026960847269569436          0.03319740720081571           0.042766284972508666          
1    0.020806644659945424          0.024395655823325528          0.032063444684802538          
3    0.019126100063068002          0.018638135359967167          0.026705576071654927          
2    0.023163954251839442          0.029677010492355431          0.037646961741217379          
6    0.028326224205495749          0.019127941021863156          0.034179717750091043          

控制点成果: 
点名 X                   Y                   
A    5597223.9036999997  19481274.021000002  
B    5621551.5105999997  19484511.780999999  
C    5600005.9949000003  19517454.955800001  
4    5617317.8113891063  19496640.28185001   
5    5603953.7180846287  19495169.91922671   
1    5614320.8255647635  19511883.095508594  
3    5588898.3003475573  19508504.069905542  
2    5601323.1432378106  19505870.079692319  
6    5590111.9968848471  19492384.431537624  
